Ian Maddieson. 2013. Presence of Uncommon Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/19, Accessed on 2025-05-05.)

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Clicks	-24.0	21.5	Tu	Tu	Phonology
ani	//Ani	2	Clicks	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Phonology
abi	Abipón	1	None	-29.0	-61.0	Abipon	Guaicuruan	Phonology
abk	Abkhaz	4	Pharyngeals	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Phonology
acm	Achumawi	1	None	41.5	-121.0	Achumawi	Hokan	Phonology
ach	Aché	1	None	-25.25	-55.1666666667	Maweti-Guarani	Tupian	Phonology
aco	Acoma	5	'Th' sounds	34.9166666667	-107.583333333	Keresan	Keresan	Phonology
adz	Adzera	1	None	-6.25	146.25	Oceanic	Austronesian	Phonology
agh	Aghem	3	Labial-velars	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Phonology
aht	Ahtna	1	None	62.0	-145.0	Athapaskan	Na-Dene	Phonology
aik	Aikaná	1	None	-12.6666666667	-60.6666666667	Aikaná	Aikaná	Phonology
ain	Ainu	1	None	43.0	143.0	Ainu	Ainu	Phonology
aiz	Aizi	3	Labial-velars	5.25	-4.5	Kru	Niger-Congo	Phonology
akn	Akan	1	None	6.5	-1.25	Tano	Niger-Congo	Phonology
akw	Akawaio	1	None	6.0	-59.5	Cariban	Cariban	Phonology
abm	Alabama	1	None	32.3333333333	-87.4166666667	Muskogean	Muskogean	Phonology
ala	Alamblak	1	None	-4.66666666667	143.333333333	Sepik Hill	Sepik	Phonology
alw	Alawa	1	None	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Phonology
alb	Albanian	5	'Th' sounds	41.0	20.0	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	5	'Th' sounds	54.75	-164.0	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	3	Labial-velars	5.16666666667	-4.33333333333	Avikam-Alladian	Niger-Congo	Phonology
amc	Amahuaca	5	'Th' sounds	-10.5	-72.5	Panoan	Pano-Tacanan	Phonology
ame	Amele	3	Labial-velars	-5.25	145.583333333	Mabuso	Trans-New Guinea	Phonology
amh	Amharic	1	None	10.0	38.0	Semitic	Afro-Asiatic	Phonology
amo	Amo	3	Labial-velars	10.3333333333	8.66666666667	Central Kainji	Niger-Congo	Phonology
amu	Amuesha	1	None	-10.5	-75.4166666667	Yanesha'	Arawakan	Phonology
amz	Amuzgo	1	None	16.8333333333	-98.0	Amuzgoan	Oto-Manguean	Phonology
adk	Andoke	1	None	-0.666666666667	-72.0	Andoke	Andoke	Phonology
ant	Angaataha	1	None	-7.21666666667	146.25	Angaataha	Trans-New Guinea	Phonology
anc	Angas	1	None	9.5	9.5	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	None	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Phonology
api	Apinayé	1	None	-5.5	-48.0	Je Setentrional	Macro-Ge	Phonology
apu	Apurinã	1	None	-9.0	-67.0	Purus	Arawakan	Phonology
arb	Arabela	1	None	-2.0	-75.1666666667	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	4	Pharyngeals	30.0	31.0	Semitic	Afro-Asiatic	Phonology
ana	Araona	1	None	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Phonology
arp	Arapesh (Mountain)	1	None	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Phonology
arc	Archi	4	Pharyngeals	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	1	None	40.0	45.0	Armenian	Indo-European	Phonology
amp	Arrernte (Mparntwe)	1	None	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
asm	Asmat	1	None	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Phonology
ata	Atayal	4	Pharyngeals	24.5	121.333333333	Atayalic	Austronesian	Phonology
ava	Avar	4	Pharyngeals	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awp	Awa Pit	1	None	1.5	-78.25	Barbacoan	Barbacoan	Phonology
awn	Awngi	1	None	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Phonology
aym	Aymara (Central)	1	None	-17.0	-69.0	Aymaran	Aymaran	Phonology
aze	Azerbaijani	1	None	40.5	48.5	Turkic	Altaic	Phonology
bag	Bagirmi	1	None	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Phonology
bai	Bai	1	None	26.0	100.0	Macro-Bai	Sino-Tibetan	Phonology
baj	Bajau (Sama)	1	None	-4.33333333333	123.0	Sama-Bajaw	Austronesian	Phonology
bki	Bakairí	1	None	-14.0	-55.0	Cariban	Cariban	Phonology
bam	Bambara	1	None	12.5	-7.5	Western Mande	Mande	Phonology
byu	Bandjalang (Yugumbir)	1	None	-27.9166666667	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
brd	Bardi	1	None	-16.5833333333	122.916666667	Nyulnyulan	Nyulnyulan	Phonology
brb	Bariba	3	Labial-velars	10.0	2.5	Baatonum	Niger-Congo	Phonology
bsk	Bashkir	5	'Th' sounds	53.0	58.0	Turkic	Altaic	Phonology
bsq	Basque	1	None	43.0	-3.0	Basque	Basque	Phonology
bkr	Batak (Karo)	1	None	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
bto	Batak (Toba)	1	None	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
baw	Bawm	1	None	22.5	92.25	Kuki-Chin	Sino-Tibetan	Phonology
bee	Beembe	1	None	-3.91666666667	14.0833333333	Bantu	Niger-Congo	Phonology
bej	Beja	1	None	18.0	36.0	Beja	Afro-Asiatic	Phonology
bco	Bella Coola	1	None	52.5	-126.666666667	Bella Coola	Salishan	Phonology
ben	Bengali	1	None	24.0	90.0	Indic	Indo-European	Phonology
bma	Berber (Middle Atlas)	4	Pharyngeals	33.0	-5.0	Berber	Afro-Asiatic	Phonology
ber	Berta	5	'Th' sounds	10.3333333333	34.6666666667	Berta	Berta	Phonology
bir	Birom	3	Labial-velars	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	Phonology
bis	Bisa	1	None	11.5	-0.5	Eastern Mande	Mande	Phonology
bbf	Bobo Madaré (Northern)	3	Labial-velars	12.4166666666667	-4.3333333333333	Western Mande	Mande	Phonology
bod	Bodo	1	None	26.8333333333	92.0	Brahmaputran	Sino-Tibetan	Phonology
brr	Bororo	1	None	-16.0	-57.0	Bororoan	Bororoan	Phonology
brh	Brahui	1	None	28.5	67.0	Dravidian	Dravidian	Phonology
bra	Brao	4	Pharyngeals	14.1666666667	107.5	Bahnaric	Austro-Asiatic	Phonology
bre	Breton	1	None	48.0	-3.0	Celtic	Indo-European	Phonology
bri	Bribri	1	None	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Phonology
brw	Bru (Western)	1	None	16.75	104.75	Katuic	Austro-Asiatic	Phonology
bul	Bulgarian	1	None	42.5	25.0	Slavic	Indo-European	Phonology
bua	Burarra	1	None	-12.25	134.583333333	Burarran	Mangrida	Phonology
brm	Burmese	5	'Th' sounds	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Phonology
bur	Burushaski	1	None	36.5	74.5	Burushaski	Burushaski	Phonology
bet	Bété	3	Labial-velars	6.25	-6.25	Kru	Niger-Congo	Phonology
cac	Cacua	1	None	1.08333333333	-70.0	Cacua-Nukak	Cacua-Nukak	Phonology
cad	Caddo	1	None	33.3333333333	-93.5	Caddo	Caddoan	Phonology
cah	Cahuilla	1	None	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Phonology
cax	Campa (Axininca)	1	None	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Phonology
cam	Camsá	1	None	1.16666666667	-77.0	Camsá	Camsá	Phonology
cnl	Canela	1	None	-7.0	-45.0	Je Setentrional	Macro-Ge	Phonology
cnt	Cantonese	1	None	23.0	113.0	Chinese	Sino-Tibetan	Phonology
car	Carib	1	None	5.5	-56.0	Cariban	Cariban	Phonology
ctl	Catalan	1	None	41.75	2.0	Romance	Indo-European	Phonology
cay	Cayapa	1	None	0.666666666667	-79.0	Barbacoan	Barbacoan	Phonology
cyv	Cayuvava	1	None	-13.5	-65.5	Cayuvava	Cayuvava	Phonology
chw	Cham (Western)	1	None	12.0	105.5	Malayo-Sumbawan	Austronesian	Phonology
cha	Chamorro	1	None	13.45	144.75	Chamorro	Austronesian	Phonology
cso	Chatino (Sierra Occidental)	1	None	16.25	-97.3333333333	Zapotecan	Oto-Manguean	Phonology
chl	Chehalis (Upper)	1	None	46.5833333333	-123.0	Tsamosan	Salishan	Phonology
che	Cherokee	1	None	35.5	-83.5	Southern Iroquoian	Iroquoian	Phonology
cck	Chickasaw	1	None	34.0	-88.0	Muskogean	Muskogean	Phonology
cti	Chin (Tiddim)	1	None	23.3333333333	93.6666666667	Kuki-Chin	Sino-Tibetan	Phonology
cle	Chinantec (Lealao)	1	None	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Phonology
chq	Chinantec (Quiotepec)	5	'Th' sounds	17.5833333333	-96.6666666667	Chinantecan	Oto-Manguean	Phonology
chp	Chipewyan	5	'Th' sounds	59.0	-106.0	Athapaskan	Na-Dene	Phonology
cve	Chuave	1	None	-6.11666666667	145.116666667	Chimbu-Wahgi	Trans-New Guinea	Phonology
chk	Chukchi	1	None	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
chv	Chuvash	1	None	55.5	47.5	Turkic	Altaic	Phonology
